slug
admin-user-management
alarm-handler
backup-and-restore-orchestrator
certificate-management
cm-mediator
cm-yang-provider
common-base-os-docker-layer
container-registry
data-coordinator-zk
data-engine-sk
diagnostic-data-collector
diameter
distributed-coordinator-ed
distributed-service-linker
distributed-trace-agent
distributed-trace-collector
distributed-trace-query
dns64
document-database-pg
event-data-collector
external-connectivity-frontend
helm-chart-registry
identity-and-access-management
ingress-controller-cr
key-management
key-value-database-ag
ldap-server
license-manager
log-shipper
log-transformer
message-bus-kf
nat64
object-storage-mn
pm-bulk-reporter
pm-server
sctp
search-engine
search-engine-curator
service-identity-provider-tls
servicemesh-certificate-mgr
servicemesh-controller
servicemesh-gateways
servicemesh-proxy
servicemesh-sidecar-injector
snmp-alarm-provider
software-inventory-manager
wide-column-database-cd
csar-packaging-tool
eraia
ericingress-l4-dynamic-load-balancer
end-user-notification
nrf-agent
alarm-processor
application-monitor
bean-checker-service
brickomatic
bsf
cache-provider-hz
catalog-manager
ccr-service
central-ui-orchestrator
cnom-document-database
cnom-server
common-development-environment-framework
dbn
dbn-master
diameter-proxy-grpc
dicos-agent
dicos-master
graph-database-nj
http-mock
image-dispatcher
linnaeus
log-viewer-kb
machine-learning-flow-lcm-mxe
machine-learning-model-lcm-mxe
message-bus-rmq
model-transformer
mysql
netconf-browser
routing-and-switching
schema-registry-sr
snmp-data-transformer
snmp-trap-handler
ss7
test-emails-demo
unique-object-reporter
user-administration
vran-rvnfm
vran-sctp
web-push
adp-application-manager-portal
afg
batch-manager
business-logic-rule-engine
cam-find-nearby-iot-services
catfacts-text-analyzer
cloud-native-mocks
cm-ansible-provider
common-event-schema-registry
community-grid
connect-nearby-iot-service
dal-direct-access-layer
data-workflow-manager-airflow
distribution-agent
eda-adapter
emptydir-exporter
ericsson-caching-manager
etsi-li-targets-handler
event-history-provider-service
fm-alarm-proc
ftp-to-kafka-connect
ha-state-controller
iot-device-phone-interaction
jmx-exporter-aia
json-transformer
kafka-proxy
key-value-database-redis
keycloak-proxy
kubeci
l3vpn-adapter
martens-service
messaging-service
messaging-service-using-mapr-streams
messaging-service-using-pulsar
newsql-database-tidb
orientdb-multi-model-db
payload-translator
pm-server-hpa-adapter
position-triangulation
robot-tester
ros
rsyslog-service
servicemesh-cni-plugin
servicemesh-policy
sftp-server
software-inventory
stream-processing
subsystem-manager
timeseries-database
traffic-generator
udptokafka
ves-fault-agent
ves-measurement-agent
ves-pm-agent
wan-o-nbi
workflow-engine
workflow-manager
