nedn,neun,nesw,time,gp,moid,KPI_FailedActiveUeDLSumPerSec,KPI_FailedActiveUeULSumPerSec,KPI_RRC_SetupFail,KPI_S1_SetupFail,KPI_Erab_SetupFail,KPI_CellDowntime-Auto_Mins,KPI_CellDowntime-Manual_Mins,pm_AbnormalRelENB,pm_AbnormalRelMME,LOAD_ActiveUeDLSumPerSec,LOAD_ActiveUeULSumPerSec,LOAD_DLVolumeMB,LOAD_ULVolumeMB,LOAD_pmSessionTimeUe,pmPdcchCceUtil,pmRadioRecInterferencePwr,pmRadioRecInterferencePwrPucch
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030634_HOPLAND",030634_HOPLAND,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030634_1",1.4604448967332644,2.098266897893836,2.0,0.0,1.0,0.0,0.0,0,0,641.7777777777778,922.0622222222222,375.4625244140625,23.0797119140625,4107.0,"467631,76010,28001,133550,52910,34541,13201,45306,17233,11174,3520,11306,2085,1572,313,1286,144,119,16,65","0,0,282626,354575,123267,63684,38103,19600,9970,5097,2572,446,28,14,0,0","0,0,170848,321978,156019,119498,77318,35648,13700,3477,1306,78,92,13,5,2"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030634_HOPLAND",030634_HOPLAND,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030634_2",0.7282231452636179,0.989608861197611,0.0,0.0,1.0,0.0,0.0,0,0,701.2788888888889,952.9933333333333,559.3297119140625,24.411376953125,3174.0,"430695,52307,19543,148329,111689,34796,12683,38281,27783,9292,3164,7714,1983,870,200,467,124,36,12,15","0,0,436794,286352,77737,52687,23361,11203,7039,3106,1654,47,1,0,1,0","0,0,97945,164647,171975,177420,148248,84725,37254,11123,5952,594,92,4,0,3"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030801_HWY_80_AMERICAN_CANYON",030801_HWY_80_AMERICAN_CANYON,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030801_3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,91.98444444444445,73.4,27.550048828125,1.093017578125,234.0,"759403,31735,5349,87090,1319,4812,397,9240,30,263,1,324,0,1,0,3,0,0,0,0","0,0,6159,493979,239673,111471,32999,8422,2895,1404,2149,526,243,41,6,0","0,0,52106,329148,223245,140551,73627,41607,23333,10896,4618,680,131,25,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030801_HWY_80_AMERICAN_CANYON",030801_HWY_80_AMERICAN_CANYON,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030801_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.341111111111111,13.615555555555556,11.9912109375,1.36474609375,353.0,"839028,1089,130,58506,933,70,2,205,1,2,0,1,0,0,0,0,0,0,0,0","0,0,527108,368333,1902,756,431,310,215,164,391,161,104,76,16,0","0,0,867139,24386,3103,1413,907,611,456,345,1001,528,70,8,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030801_HWY_80_AMERICAN_CANYON",030801_HWY_80_AMERICAN_CANYON,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030801_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60.733333333333334,56.87222222222222,63.1463623046875,3.740234375,725.0,"821153,10088,1117,62171,3538,752,63,1001,37,18,1,28,0,0,0,0,0,0,0,0","0,0,237304,636183,21193,2982,876,399,229,188,425,117,44,16,9,2","0,0,266333,499904,101166,24660,4799,1203,504,556,633,122,24,23,30,10"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_3_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100.96666666666667,107.45444444444445,190.8841552734375,5.4053955078125,572.0,"814637,13463,1372,61083,6450,1531,134,827,344,94,9,25,6,0,0,0,0,0,0,0","0,689463,109322,35755,19403,14831,10980,10423,3995,2061,3299,409,28,5,1,0","0,421310,205205,80810,68033,44663,31530,18626,11261,6157,10352,1866,160,2,0,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_1_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,299.0833333333333,610.9711111111111,415.46142578125,40.7445068359375,3114.0,"650150,51949,14503,105865,41630,12004,3228,13350,4711,1191,282,957,99,33,4,18,1,0,0,0","0,602645,206558,41655,18890,10732,8537,5726,2677,972,1334,212,32,5,0,0","0,241927,358198,109802,65452,38826,25076,17527,12977,9115,18137,2763,127,28,20,0"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_1",1.4797603485838728,1.553398692810452,1.0,0.0,0.0,0.0,0.0,0,0,226.40333333333334,237.67,158.06005859375,8.999267578125,1885.0,"735756,50910,10120,67218,22002,7042,1560,3411,1157,473,87,163,35,36,2,2,1,0,0,0","0,0,0,2,633034,210313,30534,11009,6683,3817,3648,577,230,77,16,35","0,0,0,17443,622543,143388,43263,22224,17539,10744,18503,3459,528,192,77,72"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150.40777777777777,130.0288888888889,39.78564453125,7.038330078125,4469.0,"777571,15774,3271,75701,20374,2210,349,3704,843,76,8,91,1,1,0,1,0,0,0,0","0,0,0,546054,292972,35835,10184,5222,3034,2553,3494,453,105,36,18,15","0,0,0,4,576063,212913,69097,18872,8886,5642,6857,1369,210,26,13,23"
"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=MKT_030,MeContext=030666_CODDINGTOWN_SC",030666_CODDINGTOWN_SC,CXP102051/26_R28BY,Thu Jul 27 07:15:00 IST 2017,900,"ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=030666_3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38.52111111111111,96.70777777777778,15.9117431640625,3.1943359375,551.0,"784891,28459,1943,74239,4542,3182,247,2174,103,123,3,61,2,1,1,4,0,0,0,0","0,0,0,659813,81000,44354,95405,11542,4031,1670,1622,382,90,24,10,32","0,0,0,479064,252715,86741,50573,12209,6844,3787,7102,646,162,66,6,60"
